name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,15-24,male,2015,1091100.0,53.881,587895.591,15.468,77835.65798412,425368.75101588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2016,1128820.0,54.457,614721.5074,15.489,79628.715518814,434469.77708118595,7484333499401.556,475805709767.13464,812788057917.6669,59946939423.15526,83498.48428072213,1899314690679.4946,2286088151361.43,2973240.521333693,366448598133.5578,60860111425.46287,136568323727.71893,59576.06929116909,338188.3189874171,328819217876.1078,313955142062.2767,423367786446.9846,159538313629.18805,0,0,1862554.7829785,0
Rwanda,15-24,male,2017,1166540.0,54.867,640045.5018,15.486,81532.93799125201,444961.560208748,7477063304919.169,487776705496.4819,816929101423.896,62757517814.66574,87413.26354887987,1933270580022.1323,2357875527471.739,3097873.074960053,385245529463.3879,63411250846.07651,143402978191.21835,62170.85011245925,352917.7997090159,343140636028.8664,314303420511.65234,440371856056.5344,163388501079.41495,0,0,1934794.3611549698,0
Rwanda,15-24,male,2018,1204260.0,58.393,703203.5418000001,17.129,85825.960725078,415230.49747492187,7720173732060.011,500959038739.08435,856037282849.3125,63910029543.99702,89018.56622889865,2011745835567.444,2410180465354.5244,3230239.2846561903,382886566805.8835,66120692686.81246,146007428559.66174,63938.87302784361,362954.12309857697,352898915135.57306,342793823537.014,452452134446.43243,166880527256.58792,0,0,1960234.7862586766,0
Rwanda,15-24,male,2019,1241980.0,58.756,729737.7688,16.53,84673.64081736,427568.59038264,165154.87368553178,13258.924814320784,22579.03331267746,1759.9271944397337,1048.1225694222182,53758.577765835915,47392.12009263836,33938.99217261559,10066.160133566622,1624.7848009258923,3869.502007909966,661.9721491087695,3757.7378129705985,8545.14172280462,10162.954078541634,12406.235782104468,4598.9428178169965,0,0,19755.398083099193,0
Rwanda,15-24,male,2020,1279700.0,52.481,671599.3570000001,15.571,94687.35112152998,513413.29187847,7509349411861.058,434413401901.9382,1038136849102.3237,43076226904.25602,59999.72124762941,2926629482583.9956,1572982327199.1836,2955237.206752068,446166147694.38495,60491596425.21194,160156864220.13107,72561.34504569329,411900.27466458606,400489072371.546,375871256256.3436,454684982167.3776,197114374074.82733,0,0,1512194.1786287578,0
Rwanda,15-24,male,2021,1317280.0,55.473,730734.7344,16.472,96615.73614963201,489929.529450368,6857912315736.276,609018653979.4326,982431541923.0237,68657533256.339,95631.23683247143,2492765791035.3438,1985712810660.1265,3318097.52015217,437550734174.95056,67919088061.6782,154674947458.0144,66209.29379507319,375842.3480486125,365430087296.0157,396338696060.0339,516390721905.25903,186315845484.11865,0,0,1925096.7986296725,0
Rwanda,15-24,male,2022,1354860.0,56.431,764561.0466,16.277,96082.960644918,494215.99275508197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2023,1392440.0,57.259,797297.2196,16.013,95300.21342545202,499842.56697454804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,male,2024,1430020.0,57.923,828310.4846000001,15.731,94654.92386757399,507054.59153242595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
